DiscountID,OrderID,DiscountAmount,DiscountCode
1,5,89.77,DISCOUNT-AvYJ
2,8,59.64,DISCOUNT-usFA
3,11,20.4,DISCOUNT-nPxU
4,22,87.63,DISCOUNT-eHNH
5,23,84.79,DISCOUNT-dkPG
6,24,14.81,DISCOUNT-wFyw
7,25,37.55,DISCOUNT-hwny
8,30,28.27,DISCOUNT-kZdh
9,35,64.43,DISCOUNT-Wpbn
10,36,11.68,DISCOUNT-GrSD
11,37,34.4,DISCOUNT-yzOJ
12,45,69.12,DISCOUNT-HJoE
13,50,37.27,DISCOUNT-uLWk
14,62,41.77,DISCOUNT-zXPZ
15,67,5.46,DISCOUNT-hcYM
16,71,22.88,DISCOUNT-kCsf
17,74,24.16,DISCOUNT-kYKH
18,76,68.38,DISCOUNT-rBBU
19,97,85.92,DISCOUNT-sAqx
20,101,12.46,DISCOUNT-aObw
21,102,90.11,DISCOUNT-WlQF
22,107,26.61,DISCOUNT-CfdE
23,113,10.39,DISCOUNT-YSNl
24,115,68.6,DISCOUNT-eYEu
25,129,17.74,DISCOUNT-MowF
26,140,55.37,DISCOUNT-lMMN
27,141,83.81,DISCOUNT-Srjo
28,153,76.92,DISCOUNT-zCXc
29,158,59.18,DISCOUNT-HnsO
30,165,27.66,DISCOUNT-oChE
31,168,86.09,DISCOUNT-QIZs
32,170,33.87,DISCOUNT-MhHY
33,175,53.1,DISCOUNT-bCel
34,186,91.19,DISCOUNT-GskN
35,188,27.4,DISCOUNT-wKBr
36,192,71.08,DISCOUNT-nByD
37,194,51.36,DISCOUNT-HVbK
38,196,41.08,DISCOUNT-tlla
39,201,16.46,DISCOUNT-Otvd
40,202,90.69,DISCOUNT-pJBS
41,204,5.81,DISCOUNT-cEqT
42,205,94.45,DISCOUNT-xCOf
43,208,44.8,DISCOUNT-DmXn
44,223,29.58,DISCOUNT-rjrN
45,248,47.1,DISCOUNT-nOwm
46,257,58.75,DISCOUNT-LrRx
47,262,96.04,DISCOUNT-FBPU
48,278,86.97,DISCOUNT-JBCn
49,285,99.77,DISCOUNT-MOzf
50,290,62.42,DISCOUNT-PrPc
51,299,71.4,DISCOUNT-jmsR
