OrderID,ProductID,CustomerID,OrderDate,OrderQuantity,TotalAmount,Status
1,119,792,2024-04-22,5,43.8,Cancelled
2,39,692,2025-01-20,9,368.1,Cancelled
3,92,778,2024-10-08,4,62.72,Delivered
4,74,1063,2023-06-22,3,936.81,Cancelled
5,140,741,2025-03-20,6,82.92,Shipped
6,11,657,2023-09-22,10,8628.2,Shipped
7,8,636,2024-01-03,9,867.51,Shipped
8,25,250,2023-11-04,9,743.04,Delivered
9,82,983,2024-10-09,10,222.9,Delivered
10,123,942,2024-01-16,1,21.8,Pending
11,59,820,2023-08-17,4,2937.08,Shipped
12,117,529,2023-10-03,4,795.96,Pending
13,58,366,2025-06-01,1,74.8,Delivered
14,118,505,2023-06-09,7,952.84,Cancelled
15,49,880,2024-09-22,9,3651.03,Delivered
16,121,785,2025-02-12,7,13620.39,Pending
17,5,48,2023-09-19,9,111.15,Delivered
18,136,229,2023-06-18,3,129.15,Cancelled
19,146,483,2023-11-25,7,215.11,Cancelled
20,96,149,2025-02-15,1,157.96,Cancelled
21,88,642,2025-02-21,4,105.0,Shipped
22,75,1156,2025-03-16,10,609.0,Pending
23,146,19,2024-08-10,7,215.11,Cancelled
24,79,886,2024-03-14,8,455.28,Pending
25,8,197,2025-05-13,6,578.34,Shipped
26,10,669,2024-01-11,7,79.8,Shipped
27,75,99,2025-02-17,10,609.0,Pending
28,87,535,2024-02-17,5,495.9,Shipped
29,96,618,2024-09-28,9,1421.64,Delivered
30,115,350,2023-07-06,3,246.24,Pending
31,99,966,2023-08-21,3,1398.69,Cancelled
32,64,808,2023-08-20,10,593.1,Cancelled
33,85,116,2023-11-22,5,3104.25,Cancelled
34,37,585,2024-04-27,8,2023.04,Pending
35,100,176,2025-03-31,9,420.66,Pending
36,54,523,2024-01-24,5,403.95,Delivered
37,66,1180,2024-05-29,9,18.0,Pending
38,139,94,2023-12-25,7,118.09,Cancelled
39,59,35,2024-01-23,7,5139.89,Pending
40,150,488,2024-06-03,3,15.54,Shipped
41,83,252,2023-07-01,2,55.1,Shipped
42,90,588,2024-09-07,8,757.76,Pending
43,97,522,2023-10-22,6,2844.12,Cancelled
44,123,617,2025-03-24,6,130.8,Delivered
45,91,336,2023-12-08,9,1694.61,Shipped
46,149,713,2025-01-01,5,972.2,Delivered
47,75,4,2024-03-08,6,365.4,Cancelled
48,26,433,2024-06-14,9,397.8,Cancelled
49,117,124,2024-02-28,8,1591.92,Shipped
50,97,1057,2023-11-03,7,3318.14,Shipped
51,96,235,2023-12-07,9,1421.64,Shipped
52,5,1178,2023-09-08,7,86.45,Pending
53,14,65,2025-01-03,2,306.9,Cancelled
54,83,161,2023-10-23,9,247.95,Cancelled
55,5,115,2023-09-30,4,49.4,Shipped
56,29,791,2024-07-14,5,293.35,Cancelled
57,127,247,2023-12-13,4,225.04,Shipped
58,2,1097,2024-01-08,5,387.95,Delivered
59,3,1159,2024-12-31,10,11440.8,Shipped
60,13,609,2023-10-28,2,64.02,Delivered
61,15,235,2024-07-20,3,260.94,Pending
62,125,1158,2023-08-27,7,143.15,Shipped
63,38,772,2024-05-19,6,1477.26,Shipped
64,52,1019,2025-01-24,10,983.0,Pending
65,46,1055,2023-09-14,9,225.18,Delivered
66,49,1035,2025-03-02,6,2434.02,Delivered
67,14,249,2024-03-04,4,613.8,Delivered
68,15,335,2024-04-30,6,521.88,Delivered
69,91,1047,2023-06-16,2,376.58,Cancelled
70,148,797,2024-09-15,5,597.25,Shipped
71,44,200,2024-03-10,9,511.92,Shipped
72,7,544,2024-05-31,8,1088.24,Pending
73,150,819,2024-04-03,1,5.18,Pending
74,142,14,2024-08-02,4,127.72,Pending
75,5,438,2023-09-03,5,61.75,Shipped
76,44,808,2023-10-14,6,341.28,Pending
77,82,923,2024-04-18,3,66.87,Pending
78,16,219,2024-11-27,4,467.12,Delivered
79,21,824,2023-06-28,3,23.67,Delivered
80,100,233,2024-07-10,4,186.96,Delivered
