PaymentID,OrderID,PaymentMethod,Amount,PaymentDate
1,3,PayPal,62.72,2024-10-16
2,5,PayPal,82.92,2025-04-20
3,6,Bank Transfer,8628.2,2024-05-12
4,7,PayPal,867.51,2024-01-12
5,8,Debit Card,743.04,2025-03-10
6,9,Bank Transfer,222.9,2025-03-16
7,11,PayPal,2937.08,2024-07-13
8,13,Debit Card,74.8,2025-08-04
9,15,Debit Card,3651.03,2025-04-16
10,17,PayPal,111.15,2023-09-30
11,21,Debit Card,105.0,2025-04-21
12,25,Credit Card,578.34,2025-06-28
13,26,Bank Transfer,79.8,2024-02-14
14,28,Bank Transfer,495.9,2025-01-18
15,29,Credit Card,1421.64,2025-07-18
16,36,Bank Transfer,403.95,2025-03-13
17,40,Credit Card,15.54,2024-06-16
18,41,Credit Card,55.1,2024-02-14
19,44,PayPal,130.8,2025-07-30
20,45,Debit Card,1694.61,2024-07-01
21,46,Debit Card,972.2,2025-03-20
22,49,Debit Card,1591.92,2024-09-13
23,50,Bank Transfer,3318.14,2024-03-14
24,51,Bank Transfer,1421.64,2024-08-04
25,55,Credit Card,49.4,2024-08-10
26,57,Bank Transfer,225.04,2023-12-21
27,58,Debit Card,387.95,2024-02-22
28,59,Bank Transfer,11440.8,2025-07-16
29,60,Credit Card,64.02,2023-10-29
30,62,Debit Card,143.15,2025-09-07
31,63,Bank Transfer,1477.26,2025-01-04
32,65,PayPal,225.18,2024-01-19
33,66,Credit Card,2434.02,2025-06-17
34,67,Debit Card,613.8,2024-03-16
35,68,PayPal,521.88,2024-12-24
36,70,PayPal,597.25,2024-09-29
37,71,Bank Transfer,511.92,2024-04-05
38,75,Credit Card,61.75,2023-09-26
39,78,Credit Card,467.12,2024-12-08
40,79,Debit Card,23.67,2023-07-12
41,80,Debit Card,186.96,2024-09-21
42,81,Credit Card,268.8,2024-05-16
43,82,Bank Transfer,2893.2,2025-10-14
44,84,PayPal,8012.1,2023-10-31
45,85,Debit Card,117.6,2023-12-24
46,88,Credit Card,666.48,2024-09-08
47,92,Bank Transfer,27.55,2024-03-19
48,94,Debit Card,816.72,2024-05-04
49,95,Credit Card,353.44,2024-03-24
50,98,Debit Card,5956.74,2025-08-11
51,100,Debit Card,293.35,2024-04-11
52,101,Credit Card,194.14,2026-04-30
53,102,Bank Transfer,170.64,2024-04-23
54,104,Bank Transfer,474.54,2024-09-03
55,105,Bank Transfer,75.72,2024-10-12
56,107,PayPal,350.34,2024-12-04
57,109,Credit Card,60.06,2025-12-18
58,112,Bank Transfer,157.96,2024-12-30
59,114,Debit Card,176.72,2025-05-16
60,116,Debit Card,5678.88,2024-10-31
61,117,Debit Card,202.11,2026-01-31
62,120,PayPal,395.55,2023-08-18
63,122,Debit Card,10.0,2026-01-04
64,128,Credit Card,795.96,2024-10-29
65,132,Debit Card,16.38,2024-07-04
66,133,Debit Card,96.03,2025-03-25
67,135,PayPal,389.76,2024-06-05
68,137,PayPal,27.64,2025-11-03
69,140,Debit Card,779.52,2024-04-22
70,141,Debit Card,473.6,2025-03-14
71,142,Credit Card,262.48,2024-12-21
72,144,Bank Transfer,87.8,2023-07-24
73,145,PayPal,107.0,2024-10-11
74,147,Bank Transfer,82.08,2024-10-15
75,148,Credit Card,389.76,2023-07-07
76,153,Credit Card,2413.95,2025-01-08
77,154,Credit Card,320.1,2025-02-23
78,158,Debit Card,1951.2,2024-05-29
79,160,Credit Card,139.71,2025-03-18
80,162,Bank Transfer,202.4,2025-02-04
81,164,Bank Transfer,265.08,2024-04-08
82,165,Debit Card,270.75,2025-07-03
83,166,PayPal,174.4,2025-08-29
84,167,Bank Transfer,934.5,2025-01-17
85,168,Credit Card,2374.6,2025-07-28
86,174,Credit Card,95.4,2025-02-21
87,175,Bank Transfer,20.0,2024-12-05
88,178,PayPal,137.75,2024-02-13
89,179,Bank Transfer,2129.58,2024-08-18
90,180,PayPal,1749.96,2025-04-23
91,183,Bank Transfer,948.68,2025-04-06
92,185,Bank Transfer,179.58,2025-11-30
93,190,Bank Transfer,3411.9,2024-09-15
94,193,Bank Transfer,153.45,2024-07-21
95,194,Debit Card,97.64,2025-08-20
96,196,Bank Transfer,132.54,2025-01-07
97,202,PayPal,1345.1,2024-06-17
98,203,PayPal,3318.14,2025-08-19
99,204,Credit Card,286.74,2024-03-24
100,205,Credit Card,11.4,2025-06-05
101,208,Bank Transfer,631.84,2025-07-01
102,210,Credit Card,264.6,2025-04-17
103,211,Credit Card,1969.68,2023-11-02
104,212,Bank Transfer,157.15,2024-11-08
105,216,PayPal,58.8,2023-09-05
106,218,Bank Transfer,6.0,2025-03-10
107,219,PayPal,720.96,2024-10-15
108,220,PayPal,2655.0,2024-06-15
109,223,PayPal,716.7,2023-12-17
110,224,PayPal,2274.6,2024-04-03
111,225,Debit Card,96.24,2025-08-05
112,228,PayPal,6864.48,2023-07-10
113,231,Debit Card,33.74,2025-01-10
114,232,Bank Transfer,86.6,2024-12-03
115,233,Bank Transfer,564.76,2025-03-06
116,234,Debit Card,96.74,2025-08-01
117,237,Bank Transfer,242.15,2023-10-25
118,238,PayPal,2893.2,2023-06-09
119,240,Credit Card,806.8,2024-12-20
120,243,Credit Card,261.45,2025-01-29
121,244,Debit Card,3891.54,2026-01-06
122,245,PayPal,379.05,2024-07-16
123,251,Debit Card,8008.56,2024-08-02
124,252,Credit Card,6919.57,2025-02-16
125,255,Bank Transfer,5608.47,2024-04-07
126,260,Bank Transfer,15.54,2024-12-25
127,265,Debit Card,170.87,2024-07-10
128,266,Credit Card,74.8,2025-01-26
129,267,Bank Transfer,179.6,2025-06-11
130,268,Debit Card,203.76,2024-12-18
131,269,Bank Transfer,807.4,2025-09-15
132,270,Bank Transfer,339.01,2025-03-25
133,271,Bank Transfer,21.84,2025-05-23
134,273,Debit Card,393.72,2025-02-10
135,275,Credit Card,519.68,2023-11-03
136,278,Debit Card,2114.3,2024-04-23
137,280,Credit Card,14.7,2025-08-04
138,281,Debit Card,807.4,2024-02-06
139,282,PayPal,110.04,2025-02-11
140,283,PayPal,146.46,2025-09-18
141,285,Credit Card,426.3,2024-03-17
142,287,PayPal,157.5,2025-06-09
143,288,Bank Transfer,3725.1,2026-02-02
144,289,Debit Card,680.6,2025-02-01
145,290,Bank Transfer,184.59,2024-12-05
146,294,PayPal,586.52,2024-06-03
147,295,Debit Card,3122.7,2025-04-04
148,296,Bank Transfer,799.6,2024-01-16
149,297,PayPal,176.4,2024-03-29
150,298,Debit Card,465.7,2025-02-17
151,299,Credit Card,94.08,2025-04-11
152,300,PayPal,328.1,2025-01-01
153,302,Debit Card,11.4,2025-10-06
154,304,PayPal,660.48,2025-04-30
155,307,Bank Transfer,242.04,2025-02-11
156,308,PayPal,1026.41,2025-03-19
157,309,Bank Transfer,330.24,2025-09-19
158,310,Credit Card,78.48,2025-05-26
159,311,Credit Card,224.07,2023-08-26
160,312,PayPal,159.67,2024-11-30
161,314,Debit Card,341.46,2024-01-31
162,315,PayPal,210.0,2025-07-30
163,319,Credit Card,1399.3,2024-03-08
164,322,Bank Transfer,4662.3,2024-01-14
165,323,PayPal,3549.3,2024-01-15
166,324,PayPal,285.76,2025-03-24
167,325,Bank Transfer,125.76,2026-02-04
168,326,Debit Card,1224.27,2024-06-16
169,327,Bank Transfer,459.34,2024-12-03
170,328,Bank Transfer,192.85,2023-12-11
171,329,Credit Card,170.58,2024-07-25
172,331,PayPal,1632.08,2025-02-02
173,332,Bank Transfer,209.51,2025-04-24
174,333,PayPal,2839.44,2024-11-21
175,334,Credit Card,264.6,2025-02-03
176,336,Debit Card,4807.26,2025-02-21
177,338,PayPal,1599.2,2024-04-22
178,339,PayPal,14.7,2024-09-07
179,340,Bank Transfer,919.2,2025-05-02
180,341,PayPal,2616.24,2026-02-19
181,342,Credit Card,323.16,2024-11-21
182,344,Bank Transfer,2215.89,2025-04-12
183,349,Bank Transfer,6484.8,2024-08-02
184,350,Debit Card,795.96,2024-12-17
185,353,Credit Card,444.32,2025-03-16
186,354,Debit Card,955.6,2024-05-08
187,356,Bank Transfer,6919.57,2024-10-02
188,357,Debit Card,477.8,2025-04-08
189,360,Bank Transfer,68.4,2025-02-11
190,365,Bank Transfer,8012.1,2024-08-26
191,367,Bank Transfer,944.88,2024-08-18
192,368,Debit Card,46.74,2025-05-02
193,369,Debit Card,1075.05,2024-08-24
194,371,PayPal,1010.55,2024-04-16
195,373,Bank Transfer,32.1,2023-11-02
196,375,Debit Card,43.8,2025-05-05
197,376,Credit Card,66.15,2025-07-18
198,379,Debit Card,74.1,2024-01-30
199,381,Credit Card,288.99,2025-05-24
200,382,PayPal,109.0,2024-11-10
201,384,Credit Card,689.7,2024-02-11
202,387,PayPal,118.09,2025-02-27
203,388,Bank Transfer,180.46,2025-09-04
204,389,Debit Card,57.0,2025-04-13
205,392,PayPal,54.6,2025-07-07
206,394,PayPal,75.72,2023-10-09
207,396,Credit Card,589.8,2025-12-20
208,397,Bank Transfer,44.1,2023-12-19
209,399,PayPal,304.5,2025-07-11
210,400,Bank Transfer,444.32,2025-02-22
211,405,PayPal,82.92,2024-03-02
212,406,Debit Card,194.64,2024-12-05
213,407,Credit Card,341.28,2025-02-14
214,408,PayPal,6039.74,2024-05-26
215,409,PayPal,448.8,2024-11-22
216,410,PayPal,120.86,2023-12-27
217,412,Credit Card,130.02,2024-04-27
218,416,Debit Card,1622.68,2024-08-19
219,418,Debit Card,4056.7,2024-02-19
220,422,Bank Transfer,972.08,2025-04-19
221,426,Credit Card,649.6,2025-10-23
222,427,PayPal,195.96,2024-07-21
223,431,PayPal,1619.2,2025-04-28
224,433,PayPal,101.22,2026-03-11
225,434,Debit Card,636.23,2025-10-08
226,438,Debit Card,340.62,2023-12-14
227,439,PayPal,165.12,2023-11-18
228,442,Credit Card,236.25,2025-05-16
229,444,Bank Transfer,793.44,2024-11-21
230,446,Bank Transfer,1691.44,2024-12-07
231,453,Bank Transfer,2968.25,2024-07-24
232,454,PayPal,241.72,2024-11-11
233,455,Debit Card,547.61,2025-02-21
234,459,Bank Transfer,1051.02,2024-10-29
235,461,PayPal,947.2,2024-01-27
236,462,Debit Card,357.2,2024-07-25
237,463,Bank Transfer,121.51,2025-09-28
238,469,Bank Transfer,7783.08,2023-08-18
239,471,Debit Card,483.44,2024-08-08
240,473,Bank Transfer,52.32,2024-11-26
241,475,Debit Card,1622.68,2025-07-12
242,476,Credit Card,210.0,2026-02-05
243,477,Bank Transfer,1951.2,2024-06-18
244,479,Credit Card,941.45,2024-08-03
245,481,Bank Transfer,163.6,2024-11-22
246,482,PayPal,54.6,2024-12-18
247,483,Debit Card,69.1,2025-03-25
248,485,PayPal,469.38,2024-07-27
249,486,Debit Card,29.05,2024-01-12
250,487,Bank Transfer,816.72,2023-10-09
251,490,Debit Card,232.4,2024-12-01
252,492,Debit Card,224.56,2026-01-31
253,493,Bank Transfer,195.03,2024-02-27
254,495,Debit Card,721.84,2025-12-11
255,496,Debit Card,131.7,2024-07-15
256,498,Credit Card,145.25,2024-06-16
257,501,Debit Card,203.76,2025-06-19
258,502,PayPal,565.53,2024-04-16
259,504,Bank Transfer,22.29,2025-07-05
260,505,Credit Card,720.96,2025-05-27
