ProductID,ProductName,CategoryID,SupplierID,Price,Description,DateAdded
1,Art Book During,3,1,22.09,Admit day against product since sea course.,2024-07-20
2,Lipstick Hear,6,14,77.59,Politics once score war police lead laugh son.,2024-11-18
3,Smartphone Effect,1,5,1144.08,Next mean present book owner should before build.,2024-11-18
4,Biography Believe,3,11,46.57,Degree recently most.,2025-05-10
5,Cookbook Ever,3,13,12.35,Find citizen lawyer three.,2023-03-01
6,Almond Butter Catch,8,7,48.66,Campaign hold send hard million success old manage.,2024-11-25
7,Knife Set Soldier,4,3,136.03,Act suddenly political must.,2022-08-24
8,Sweater Early,2,15,96.39,Walk national strong much particular.,2023-10-24
9,Resistance Bands Fill,5,14,648.48,Yes see conference debate.,2023-06-09
10,Novel Well,3,13,11.4,Son behavior stand amount court present goal.,2023-10-22
11,Tablet Term,1,2,862.82,Explain production voice push network.,2024-08-13
12,Mascara Serve,6,6,9.54,Including politics because lose prepare.,2024-09-20
13,Mascara Third,6,12,32.01,Only laugh upon draw.,2022-06-25
14,Tablet Contain,1,10,153.45,Away play realize address visit rest civil.,2022-12-01
15,Tires Book,9,15,86.98,Look film about hotel once general writer.,2025-01-24
16,Air Fryer Growth,4,20,116.78,Effort Republican military create on perhaps stop.,2024-12-15
17,Yoga Mat Reflect,5,12,513.77,Body perhaps bed mission.,2024-04-02
18,Mascara Realize,6,13,16.87,Look air daughter news middle.,2023-04-21
19,Tires Activity,9,11,360.48,Interview bill lay admit.,2024-06-23
20,Jeans Include,2,9,95.58,Reason think far development suddenly life Congress push.,2023-09-29
21,Spinach Want,8,3,7.89,Have although down PM.,2024-03-12
22,Foundation Mother,6,20,69.15,Probably call room sport everybody president base along.,2025-01-16
23,Mascara Draw,6,5,48.38,Course science body past.,2023-07-23
24,Headlights Fill,9,7,80.68,Black condition contain case than tax past.,2024-08-29
25,Air Fryer Social,4,8,82.56,Issue determine no entire her.,2023-01-20
26,Sleep Aid Get,10,18,44.2,More heart green upon around then natural.,2024-11-05
27,Sweater Accept,2,15,121.51,Hotel avoid week happy environmental street price.,2023-10-22
28,Resistance Bands During,5,14,436.04,Market yeah grow product pretty.,2023-05-14
29,Protein Shake Different,10,9,58.67,Case identify land lead top feel feeling.,2024-06-17
30,Novel Final,3,3,21.65,Focus join science protect social.,2022-06-21
31,Treadmill Image,5,12,709.86,Their speech probably.,2024-11-12
32,Smartphone Myself,1,14,1717.48,Live hold sea network beat appear laugh.,2024-08-18
33,Cookbook Century,3,1,44.8,See partner seem new cold scientist business.,2025-01-04
34,Spinach Performance,8,17,7.35,Let picture add experience animal save record.,2023-05-18
35,Jeans Leg,2,13,199.9,Notice exactly law may.,2025-01-02
36,Action Figures Like,7,12,29.93,Just area process fact above himself character both.,2023-07-13
37,Skipping Rope Reduce,5,16,252.88,Brother miss series drive what.,2024-09-07
38,Car Wax Deal,9,13,246.21,Interview few these agent.,2025-04-19
39,Almond Butter Plan,8,2,40.9,Manage those decide a source build add.,2025-01-09
40,Blender Another,4,20,379.1,Model focus event sell few specific speak.,2022-07-21
41,Cutting Board Anyone,4,16,202.11,People picture beyond degree agreement.,2024-05-14
42,Jacket Republican,2,14,134.51,Than organization human society son.,2024-09-05
43,Car Wax Find,9,20,344.85,Although bar carry drop.,2024-06-07
44,Moisturizer Example,6,3,56.88,Ahead car her hand.,2024-08-31
45,Art Book Exist,3,15,29.4,Push significant base official attention development.,2024-06-21
46,Spinach Any,8,15,25.02,Hundred administration home process act Mrs bit.,2023-12-22
47,Sweater Development,2,1,48.43,Avoid participant officer computer space.,2023-11-07
48,Omega-3 Softgels Establish,10,10,31.74,Month small bad son.,2022-07-22
49,Yoga Mat Itself,5,15,405.67,Way according movement over.,2023-09-04
50,GPS System Church,9,4,48.99,Production program reflect else meet wrong.,2025-04-27
51,Dumbbells Product,5,8,474.34,Class item man tree your focus.,2025-04-12
52,Multivitamins Writer,10,4,98.3,Under civil billion color.,2022-12-23
53,Tablet Tv,1,20,291.29,Appear little shake mention least body weight.,2024-06-04
54,Moisturizer Structure,6,5,80.79,Increase second hospital newspaper.,2023-01-25
55,Cookbook Develop,3,8,5.46,Republican attention method.,2023-07-13
56,Protein Shake True,10,9,43.9,Almost this seem significant fight.,2024-02-19
57,Resistance Bands Close,5,10,860.52,Public begin act peace left house who.,2025-02-07
58,Foundation Involve,6,20,74.8,Race style peace visit avoid.,2024-04-12
59,Skipping Rope Keep,5,19,734.27,Popular weight move than coach window.,2023-11-09
60,Jeans Second,2,11,65.62,Outside theory they for produce Democrat.,2023-04-02
61,Sleep Aid Gas,10,13,97.07,Senior notice lot issue difficult soldier never.,2024-10-01
62,Headlights General,9,18,157.48,Power day world heavy people state specific number.,2023-02-02
63,Omega-3 Softgels Authority,10,20,96.2,Church ahead suddenly very as.,2023-02-13
64,Protein Shake Design,10,14,59.31,Message catch power however thousand.,2024-01-09
65,Car Wax Reason,9,10,60.43,Suddenly dinner system dinner.,2025-01-15
66,Almond Butter Total,8,10,2.0,Move amount indeed general move skin.,2024-09-14
67,Foundation Current,6,8,91.92,Explain first third safe poor figure relate.,2023-04-20
68,Action Figures Up,7,7,40.76,Art hear hundred.,2023-04-29
69,Toy Piano Simple,7,14,29.05,Raise act off act manage.,2022-11-24
70,Rice Family,8,4,20.51,Place such happen region face upon.,2022-06-08
