ShipmentID,OrderID,ShipmentDate,Carrier,TrackingNumber
1,1,2024-10-24,DHL,b64d6086-257b-49b1-82d8-8ecc386c6e2f
2,2,2023-08-05,UPS,eeddd451-0b91-4651-869c-8c019090fd48
3,3,2023-12-03,DHL,77aaeda2-9631-43d7-b729-9a10532200c7
4,4,2024-12-09,USPS,fedc1251-49f8-4727-b8f8-a792890d6482
5,5,2024-09-20,DHL,936d1185-0b15-4b3a-a041-c114efbc19f7
6,6,2024-01-15,DHL,37f20814-ad20-4fda-b067-4cf39cad648f
7,7,2025-03-12,FedEx,59590048-5a98-4af1-84c0-ee3bce313bd1
8,8,2024-01-06,DHL,f5caccc0-922f-4325-9a05-41135d0cb739
9,9,2024-10-20,UPS,52b5b6c7-609a-4d9c-b601-702484bbc33a
10,10,2023-07-25,DHL,2b357dfb-4777-427f-bd7b-9fcc3415b0e5
11,11,2024-05-15,DHL,8ccf16e4-5317-4438-b055-84eedbfab454
12,12,2024-03-19,UPS,99282569-1b6e-4ec1-bcef-023b0c98156a
13,13,2025-04-14,FedEx,6897e64a-a188-48b4-80d8-c8a46c2e4eb1
14,14,2024-06-08,FedEx,1c94f3ab-d391-464b-9aed-432c3c35d28b
15,15,2024-08-27,FedEx,5672fbbe-7572-4986-91d9-b703a846f228
16,16,2023-08-27,UPS,ca55f817-ecf9-4139-bd8c-31a82d1692b5
17,17,2024-01-29,DHL,1bb0f464-e956-46ee-8c4e-76154e1a9cf3
18,18,2023-10-31,DHL,19006010-4080-4d5b-945b-787e41b4f005
19,19,2023-10-17,USPS,d45a30c1-ad73-4f33-9bee-929b767febe4
20,20,2024-04-01,FedEx,c371d731-d13e-475d-90b1-30f55392b205
21,21,2024-05-21,USPS,b2a475e6-4d50-4a61-acb9-2b52d99103a6
22,22,2025-05-03,DHL,b43ce1fa-9d83-404f-804b-d0a0d8e8ccac
23,23,2024-03-24,FedEx,54d1f06b-d161-4f1f-abac-22b0a6327bf1
24,24,2024-04-13,USPS,f724ee82-9251-4470-bc31-f7e9a25b1dc2
25,25,2023-08-21,DHL,3e39783b-2f99-4828-88b0-a98583378a43
26,26,2024-10-21,USPS,0909e5b8-5553-4530-8098-0c23266bcfc3
27,27,2024-06-15,FedEx,dcd954e5-659e-4394-97af-a8b6c3470c1e
28,28,2024-05-01,DHL,6255a5fb-ad71-4cb3-8fdf-f9ca80665e56
29,29,2025-04-11,USPS,bcdfccd4-2dfb-4d6e-a591-617e84505e52
30,30,2023-12-26,UPS,87b40c52-2ae1-4010-ada0-c3d1ab012ba4
31,31,2024-01-20,UPS,319daa24-e404-45d2-ada9-c576a10e2d63
32,32,2024-01-01,UPS,8f5f0d04-8ae4-45c8-aa07-7ed209c40534
33,33,2023-10-03,UPS,ebe485c7-0eac-4e3b-9c0b-409566dd0134
34,34,2023-09-17,USPS,c9e93c84-60e3-464c-8d1b-032c607688dc
35,35,2024-08-12,UPS,04b79661-6197-4f35-ad64-ebaaf532f863
36,36,2024-11-29,FedEx,b07f61da-da04-4733-b38f-c4584780aef1
37,37,2023-12-06,USPS,ad77c722-5d8d-421f-8643-081b551a0144
38,38,2024-11-18,FedEx,6da73129-af12-4b18-8889-e25f7c4dd82a
39,39,2024-03-24,UPS,f7bce1c8-b836-461e-9fc5-fe2eb22457db
